id,name,constituencyLabel,constituency,groupLabel,group
Q21294488,Jean-Luc Addor,Valais,Q834,V,Q1305894
Q117403,Andreas Aebi,Berne,Q11911,V,Q1305894
Q119144,Matthias Aebischer,Berne,Q11911,S,Q86726489
Q118558,Thomas Aeschi,Zoug,Q11933,V,Q1305894
Q120883,Céline Amaudruz,Genève,Q11917,V,Q1305894
Q72012369,Gerhard Andrey,Fribourg,Q12640,G,Q86726489
Q18630717,Sibel Arslan,Bâle-Ville,Q12172,G,Q86726489
Q1955511,Mustafa Atici,Bâle-Ville,Q12172,S,Q86726489
Q71716789,Christine Badertscher,Berne,Q11911,G,Q86726489
Q1369110,Jacqueline Badran,Zurich,Q11943,S,Q86726489
Q23060461,Angelo Barrile,Zurich,Q11943,S,Q86726489
Q61807649,Kilian Baumann,Berne,Q11911,G,Q86726489
Q120934,Martin Bäumle,Zurich,Q11943,GL,Q86726489
Q74657043,Judith Bellaïche,Zurich,Q11943,GL,Q86726489
Q30118254,Samuel Bendahan,Vaud,Q12771,S,Q86726489
Q118524,Kathrin Bertschy,Berne,Q11911,GL,Q86726489
Q21032066,Marianne Binder-Keller,Argovie,Q11972,C-CED,Q86726489
Q71934847,Martina Bircher,Argovie,Q11972,V,Q1305894
Q122038,Prisca Birrer-Heimo,Lucerne,Q12121,S,Q86726489
Q21162577,Frédéric Borloz,Vaud,Q12771,RL,Q86726489
Q122928,Jacques Bourgeois,Fribourg,Q12640,RL,Q86726489
Q60485089,Philipp Matthias Bregy,Valais,Q834,C-CED,Q86726489
Q118484,Daniel Brélaz,Vaud,Q12771,G,Q86726489
Q76435729,Florence Brenzikofer,Bâle-Campagne,Q12146,G,Q86726489
Q83710148,Thomas Brunner,Saint-Gall,Q12746,GL,Q86726489
Q118502,Roland Rino Büchel,Saint-Gall,Q12746,V,Q1305894
Q21294587,Michaël Buffat,Vaud,Q12771,V,Q1305894
Q1083465,Christine Bulliard-Marbach,Fribourg,Q12640,C-CED,Q86726489
Q21181009,Thomas Burgherr,Argovie,Q11972,V,Q1305894
Q1447989,Martin Candinas,Grisons,Q11925,C-CED,Q86726489
Q41230314,Rocco Cattaneo,Tessin,Q12724,RL,Q86726489
Q122902,Isabelle Chevalley,Vaud,Q12771,GL,Q86726489
Q77074962,Katja Christ,Bâle-Ville,Q12172,GL,Q86726489
Q71788578,Christophe Clivaz,Valais,Q834,G,Q86726489
Q71825194,Damien Cottier,Neuchâtel,Q12738,RL,Q86726489
Q45812562,Brigitte Crottaz,Vaud,Q12771,S,Q86726489
Q71799433,Christian Dandrès,Genève,Q11917,S,Q86726489
Q118493,Thomas de Courten,Bâle-Campagne,Q12146,V,Q1305894
Q21294635,Denis de la Reussille,Neuchâtel,Q12738,G,Q86726489
Q71782088,Simone de Montmollin,Genève,Q11917,RL,Q86726489
Q119840,Jacqueline de Quattro,Vaud,Q12771,RL,Q86726489
Q21180915,Marcel Dettling,Schwytz,Q12433,V,Q1305894
Q19840724,Marcel Dobler,Saint-Gall,Q12746,RL,Q86726489
Q71977592,Kurt Egger,Thurgovie,Q12713,G,Q86726489
Q1933122,Mike Egger,Saint-Gall,Q12746,V,Q1305894
Q116834,Yvette Estermann,Lucerne,Q12121,V,Q1305894
Q119566,Christoph Eymann,Bâle-Ville,Q12172,RL,Q86726489
Q77073224,Alex Farinelli,Tessin,Q12724,RL,Q86726489
Q21694713,Laurence Fehlmann Rielle,Genève,Q11917,S,Q86726489
Q1475381,Olivier Feller,Vaud,Q12771,RL,Q86726489
Q120969,Yvonne Feri,Argovie,Q11972,S,Q86726489
Q542575,Doris Fiala,Zurich,Q11943,RL,Q86726489
Q2798507,Roland Fischer,Lucerne,Q12121,GL,Q86726489
Q71822625,Fabien Fivaz,Neuchâtel,Q12738,G,Q86726489
Q813059,Beat Flach,Argovie,Q11972,GL,Q86726489
Q121470,Kurt Fluri,Soleure,Q11929,RL,Q86726489
Q16739430,Pierre-Alain Fridez,Jura,Q12755,S,Q86726489
Q6469306,Claudia Friedl,Saint-Gall,Q12746,S,Q86726489
Q73417223,Esther Friedli,Saint-Gall,Q12746,V,Q1305894
Q24706368,Tamara Funiciello,Berne,Q11911,S,Q86726489
Q77074759,Andreas Gafner,Berne,Q11911,V,Q1305894
Q121166,Andrea Geissbühler,Berne,Q11911,UDC,Q385258
Q73904977,Anna Giacometti,Grisons,Q11925,RL,Q86726489
Q61196213,Benjamin Giezendanner,Argovie,Q11972,V,Q1305894
Q118359,Bastien Girod,Zurich,Q11943,G,Q86726489
Q121882,Ida Glanzmann-Hunkeler,Lucerne,Q12121,C-CED,Q86726489
Q497462,Andreas Glarner,Argovie,Q11972,V,Q1305894
Q805606,Balthasar Glättli,Zurich,Q11943,G,Q86726489
Q1547066,Alois Gmür,Schwytz,Q12433,C-CED,Q86726489
Q1416853,Petra Gössi,Schwytz,Q12433,RL,Q86726489
Q125439,Edith Graf-Litscher,Thurgovie,Q12713,S,Q86726489
Q59140652,Corina Gredig,Zurich,Q11943,GL,Q86726489
Q120673,Jean-Pierre Grin,Vaud,Q12771,V,Q1305894
Q74519,Jürg Grossen,Berne,Q11911,GL,Q86726489
Q21269511,Franz Grüter,Lucerne,Q12121,V,Q1305894
Q15820891,Jean-Paul Gschwind,Jura,Q12755,C-CED,Q86726489
Q77074847,Lars Guggisberg,Berne,Q11911,V,Q1305894
Q18132152,Nik Gugger,Zurich,Q11943,C-CED,Q86726489
Q15805663,Diana Gutjahr,Thurgovie,Q12713,V,Q1305894
Q120904,Barbara Gysi,Saint-Gall,Q12746,S,Q86726489
Q72112238,Greta Gysin,Tessin,Q12724,G,Q86726489
Q64617510,Martin Haab,Zurich,Q11943,UDC,Q385258
Q117149,Alfred Heer,Zurich,Q11943,V,Q1305894
Q76468675,Stefanie Heimgartner,Argovie,Q11972,V,Q1305894
Q6373721,Verena Herzog,Thurgovie,Q12713,V,Q1305894
Q121862,Erich Hess,Berne,Q11911,V,Q1305894
Q81967,Lorenz Hess,Berne,Q11911,C-CED,Q86726489
Q86914282,Alois Huber,Argovie,Q11972,V,Q1305894
Q275490,Ruth Humbel,Argovie,Q11972,C-CED,Q86726489
Q71822599,Baptiste Hurni,Neuchâtel,Q12738,S,Q86726489
Q119880,Thomas Hurter,Schaffhouse,Q12697,V,Q1305894
Q21268794,Christian Imark,Soleure,Q11929,V,Q1305894
Q813067,Beat Jans,Bâle-Ville,Q12172,S,Q86726489
Q21693665,Matthias Jauslin,Argovie,Q11972,RL,Q86726489
Q19502656,Irène Kälin,Argovie,Q11972,G,Q86726489
Q71794148,Sidney Kamerzin,Valais,Q834,C-CED,Q86726489
Q119410,Peter Keller,Nidwald,Q12592,V,Q1305894
Q71792676,Delphine Klopfenstein Broggini,Genève,Q11917,G,Q86726489
Q1486902,Roger Köppel,Zurich,Q11943,V,Q1305894
Q1355143,Philipp Kutter,Zurich,Q11943,C-CED,Q86726489
Q125433,Martin Landolt,Glaris,Q11922,C-CED,Q86726489
Q72102985,Sandra Locher Benguerel,Grisons,Q11925,S,Q86726489
Q1080853,Christian Lohr,Thurgovie,Q12713,C-CED,Q86726489
Q116392,Christian Lüscher,Genève,Q11917,RL,Q86726489
Q72154488,Jörg Mäder,Zurich,Q11943,GL,Q86726489
Q116923,Pierre-Yves Maillard,Vaud,Q12771,S,Q86726489
Q71800029,Vincent Maitre,Genève,Q11917,C-CED,Q86726489
Q77073233,Piero Marchesi,Tessin,Q12724,V,Q1305894
Q118535,Christa Markwalder,Berne,Q11911,RL,Q86726489
Q117400,Ada Marra,Vaud,Q12771,S,Q86726489
Q20192072,Min Li Marti,Zurich,Q11943,C-CED,Q86726489
Q59615268,Samira Marti,Bâle-Campagne,Q12146,C-CED,Q86726489
Q1883801,Magdalena Martullo-Blocher,Grisons,Q11925,V,Q1305894
Q867613,Nadine Masshardt,Berne,Q11911,S,Q86726489
Q71800926,Michel Matter,Genève,Q11917,GL,Q86726489
Q17305571,Thomas Matter,Zurich,Q11943,V,Q1305894
Q74657073,Melanie Mettler,Berne,Q11911,GL,Q86726489
Q23059253,Mattea Meyer,Zurich,Q11943,S,Q86726489
Q71813085,Sophie Michaud Gigon,Vaud,Q12771,G,Q86726489
